feature,importance
DEP_HOUR,0.15722744672304798
DEP_MINUTE,0.09234329250350497
AIR_TIME,0.08512319037810939
PLANE_MODEL_39M,0.07600282566209786
month,0.0748093792010342
temperature_2m,0.04933301988164193
relative_humidity_2m,0.04810124325485752
PLANE_MODEL_38M,0.044916174199333164
cloud_cover,0.043778588387806135
pressure_msl,0.041904943441558644
wind_speed_10m,0.041880953027128826
dayofweek,0.04076439424249314
day,0.03862283592977862
PLANE_MODEL_319,0.037675033306511806
PLANE_MODEL_739ER,0.03622088533677501
PLANE_MODEL_753,0.026674498735768215
year,0.01895524301207927
PLANE_MODEL_763ER,0.014251613087020273
precipitation,0.007749732028422578
PLANE_MODEL_752,0.006905893038895575
PLANE_MODEL_787-8,0.006644395124661026
PLANE_MODEL_772ER,0.0035385147484951985
IS_HOLIDAY,0.0035115899685053908
PLANE_MODEL_787-9,0.0019785564113933953
PLANE_MODEL_787-10,0.00040752020854922967
PLANE_MODEL_738,0.0003720483723696004
PLANE_MODEL_77W,0.00017215351186471606
PLANE_MODEL_764ER,0.0001340362762964569
