PLANE_MODEL,TAIL_NUM
E175,N103SY
E175,N105SY
E175,N106SY
E175,N107SY
E175,N108SY
E175,N109SY
E175,N110SY
E175,N113SY
E175,N114SY
E175,N116SY
E175,N117SY
E175,N118SY
E175,N119SY
E175,N120SY
E175,N121SY
E175,N122SY
E175,N124SY
E175,N125SY
E175,N127SY
E175,N128SY
E175,N130SY
E175,N131SY
E175,N132SY
E175,N133SY
E175,N134SY
E175,N135SY
E175,N136SY
E175,N138SY
E175,N139SY
E175,N140SY
E175,N141SY
E175,N142SY
E175,N143SY
E175,N144SY
E175,N145SY
E175,N146SY
E175,N148SY
E175,N149SY
E175,N150SY
E175,N151SY
E175,N152SY
E175,N153SY
E175,N154SY
E175,N156SY
E175,N157SY
E175,N160SY
E175,N161SY
E175,N162SY
E175,N163SY
E175,N164SY
E175,N165SY
E175,N166SY
E175,N167SY
E175,N168SY
E175,N200SY
E175,N202SY
E175,N203SY
E175,N204SY
E175,N205SY
E175,N206SY
E175,N207SY
E175,N208SY
E175,N209SY
E175,N211SY
E175,N213SY
E175,N87303
E175,N89304
E175,N87306
E175,N84307
E175,N89308
E175,N86309
E175,N88310
E175,N86311
E175,N86312
E175,N89315
E175,N87318
E175,N87319
E175,N88326
E175,N88331
E175,N88332
E175,N82333
E175,N86334
E175,N88335
E175,N86336
E175,N87337
E175,N82338
E175,N87339
E175,N85340
E175,N88341
E175,N89342
E175,N80343
E175,N86344
E175,N87345
E175,N88346
E175,N86347
E175,N80348
E175,N89349
E175,N85351
E175,N85352
E175,N87353
E175,N85354
E175,N85355
E175,N85356
E175,N89357
E175,N85358
E175,N88359
E175,N87360
E175,N740YX
E175,N741YX
E175,N742YX
E175,N743YX
E175,N744YX
E175,N745YX
E175,N746YX
E175,N747YX
E175,N748YX
E175,N749YX
E175,N750YX
E175,N751YX
E175,N752YX
E175,N753YX
E175,N754YX
E175,N755YX
E175,N756YX
E175,N757YX
E175,N758YX
E175,N760YX
E175,N761YX
E175,N762YX
E175,N763YX
E175,N764YX
E175,N765YX
E175,N766YX
E175,N767YX
E175,N768YX
E175,N769YX
E175,N770YX
75SC,N601UX
75SC,N602UX
75SC,N603UX
75SC,N604UX
75SC,N605UX
75SC,N606UX
75SC,N607UX
75SC,N608UX
75SC,N609UX
75SC,N610UX
75SC,N611UX
75SC,N612UX
75SC,N613UX
75SC,N614UX
75SC,N615UX
75SC,N616UX
75SC,N617UX
75SC,N618UX
75SC,N619UX
75SC,N620UX
75SC,N621UX
75SC,N622UX
75SC,N623UX
75SC,N624UX
75SC,N625UX
75SC,N78361
75SC,N87367
75SC,N84378
75SC,N85379
75SC,N721YX
75SC,N722YX
75SC,N723YX
75SC,N724YX
75SC,N725YX
75SC,N726YX
75SC,N727YX
75SC,N728YX
75SC,N729YX
75SC,N730YX
75SC,N731YX
75SC,N732YX
75SC,N733YX
75SC,N736YX
75SC,N739YX
75SC,N88301
75SC,N87302
75SC,N93305
75SC,N89313
75SC,N82314
75SC,N86316
75SC,N89317
75SC,N85320
75SC,N89321
75SC,N86322
75SC,N85323
75SC,N86324
75SC,N88325
75SC,N88327
75SC,N88328
75SC,N83329
75SC,N88330
75SC,N86350
75SC,N89362
75SC,N85363
75SC,N87364
75SC,N87365
75SC,N82366
75SC,N87368
75SC,N85369
75SC,N85370
75SC,N86371
75SC,N86372
75SC,N85373
75SC,N85374
75SC,N86375
75SC,N85376
75SC,N85377
75SC,N87380
E170,N638RW
E170,N639RW
E170,N640RW
E170,N641RW
E170,N642RW
E170,N647RW
E170,N648RW
E170,N652RW
E170,N653RW
E170,N654RW
E170,N655RW
E170,N656RW
E170,N657RW
E170,N855RW
E170,N856RW
E170,N857RW
E170,N858RW
E170,N859RW
E170,N861RW
E170,N862RW
E170,N863RW
E170,N864RW
E170,N865RW
E170,N979RP
CJ9,N241LR
CJ9,N244LR
CJ9,N245LR
CJ9,N249LR
CJ9,N326MS
CJ9,N329MS
CJ9,N914FJ
CJ9,N920FJ
CJ9,N922FJ
CJ9,N927LR
CJ9,N930LR
CJ9,N933LR
CJ9,N934FJ
CJ9,N938LR
CJ9,N943LR
CJ9,N944LR
CJ9,N946LR
CJ9,N947LR
CJ9,N948LR
CJ9,N950LR
CJ9,N951LR
CJ7,N743SK
CJ7,N779SK
CJ7,N780SK
CJ7,N782SK
CJ7,N783SK
CJ7,N784SK
CJ7,N785SK
CJ7,N786SK
CJ7,N787SK
CJ7,N788SK
CJ7,N789SK
CJ7,N790SK
CJ7,N791SK
CJ7,N792SK
CJ7,N793SK
CJ7,N794SK
CJ7,N795SK
CJ7,N796SK
CJ7,N797SK
CJ5,N54EA
CJ5,N501GJ
CJ5,N502GJ
CJ5,N503GJ
CJ5,N504GJ
CJ5,N506GJ
CJ5,N508GJ
CJ5,N511GJ
CJ5,N519GJ
CJ5,N520GJ
CJ5,N521GJ
CJ5,N522GJ
CJ5,N523GJ
CJ5,N524GJ
CJ5,N526GJ
CJ5,N530GJ
CJ5,N531GJ
CJ5,N532GJ
CJ5,N533GJ
CJ5,N534GJ
CJ5,N535GJ
CJ5,N536GJ
CJ5,N537GJ
CJ5,N538GJ
CJ5,N539GJ
CJ5,N540GJ
CJ5,N541GJ
CJ5,N542GJ
CJ5,N543GJ
CJ5,N544GJ
CJ5,N545GJ
CJ5,N546GJ
CJ5,N547GJ
CJ5,N548GJ
CJ5,N549GJ
CJ5,N551GJ
CJ5,N552GJ
CJ5,N553GJ
CJ5,N554GJ
CJ5,N556GJ
CJ5,N557GJ
CJ5,N558GJ
CJ5,N559GJ
CJ5,N561GJ
CJ5,N562GJ
CJ5,N563GJ
CJ5,N564GJ
CJ5,N565GJ
CJ5,N566GJ
CJ5,N568GJ
CJ5,N569GJ
CJ5,N570GJ
CJ5,N571GJ
CJ5,N572GJ
CJ5,N573GJ
CJ5,N574GJ
CJ5,N575GJ
CJ5,N578GJ
CJ5,N579GJ
E45X,N24128
E45X,N21129
E45X,N12135
E45X,N12136
E45X,N12142
E45X,N21144
E45X,N12145
E45X,N17146
E45X,N16147
E45X,N14148
E45X,N16149
E45X,N11150
E45X,N16151
E45X,N14153
E45X,N21154
E45X,N10156
E45X,N14158
E45X,N17159
E45X,N12160
E45X,N13161
E45X,N14162
E45X,N12163
E45X,N11164
E45X,N11165
E45X,N12167
E45X,N14168
E45X,N17169
E45X,N16170
E45X,N14174
E45X,N12175
E45X,N11176
E45X,N14177
E45X,N16178
E45X,N14179
E45X,N33182
E45X,N16183
E45X,N11184
E45X,N14186
E45X,N14188
E45X,N11189
E45X,N27190
E45X,N11191
E45X,N11192
E45X,N11193
E45X,N12195
E45X,N17196
E45X,N21197
E45X,N14198
E45X,N11199
E45X,N27200
E45X,N12201
E45X,N13202
E45X,N14203
CJ2,N207PS
CJ2,N221PS
CJ2,N223JS
CJ2,N228PS
CJ2,N246PS
CJ2,N430SW
CJ2,N433SW
CJ2,N437SW
CJ2,N440SW
CJ2,N452SW
CJ2,N453SW
CJ2,N454SW
CJ2,N455SW
CJ2,N457SW
CJ2,N463SW
CJ2,N464SW
CJ2,N465SW
CJ2,N466SW
CJ2,N471CA
CJ2,N472CA
CJ2,N479CA
CJ2,N487CA
CJ2,N494CA
CJ2,N679SA
CJ2,N693BR
CJ2,N854AS
CJ2,N856AS
CJ2,N868AS
CJ2,N876AS
CJ2,N881AS
CJ2,N900EV
CJ2,N903EV
CJ2,N904EV
CJ2,N906EV
CJ2,N908SW
CJ2,N909SW
CJ2,N910EV
CJ2,N910SW
CJ2,N912EV
CJ2,N912SW
CJ2,N913EV
CJ2,N914EV
CJ2,N915EV
CJ2,N916EV
CJ2,N917SW
CJ2,N919SW
CJ2,N920EV
CJ2,N920SW
CJ2,N924SW
CJ2,N925EV
CJ2,N925SW
CJ2,N926SW
CJ2,N929EV
CJ2,N929SW
CJ2,N930SW
CJ2,N932EV
CJ2,N932SW
CJ2,N933EV
CJ2,N937EV
CJ2,N939SW
CJ2,N943SW
CJ2,N944SW
CJ2,N945SW
CJ2,N946SW
CJ2,N947SW
CJ2,N953SW
CJ2,N954SW
CJ2,N955SW
CJ2,N956SW
CJ2,N957SW
CJ2,N958SW
CJ2,N960SW
CJ2,N961SW
CJ2,N962SW
CJ2,N963SW
CJ2,N964SW
CJ2,N965SW
CJ2,N967SW
CJ2,N969SW
CJ2,N970SW
CJ2,N971SW
CJ2,N973SW
CJ2,N975SW
CJ2,N978SW
CJ2,N979SW
CJ2,N982SW
CJ2,N983SW
CJ2,N986SW
CJ2,N218PS
CJ2,N461SW
CJ2,N496CA
CJ2,N506CA
CJ2,N699BR
CJ2,N709BR
CJ2,N878AS
CJ2,N879AS
CJ2,N917EV
CJ2,N919EV
CJ2,N928EV
CJ2,N930EV
CJ2,N959SW
CJ2,N976SW
CJ2,N980SW
