  ,Reg #,AC #,Delivery Yr,SEAT MAP,Configuration
20S,A320,Over,water,,Non have ETOPS
320,N413UA ,4713,1994 ,SL/NewF,12F/42E+/96Y
320,N414UA ,4214,1994 ,SL/NewF,12F/42E+/96Y
320,N415UA ,4615,1994 ,SL/NewF,12F/42E+/96Y
320,N416UA ,4616,1994 ,SL/NewF,12F/42E+/96Y
320,N417UA ,4617,1994 ,SL/NewF,12F/42E+/96Y
320,N418UA ,4618,1994 ,SL/NewF,12F/42E+/96Y
320,N419UA ,4619,1994 ,SL/NewF,12F/42E=/96Y
320,N420UA ,4620,1994 ,SL/NewF,12F/42E+/96Y
320,N421UA ,4621,1994 ,SL/NewF,12F/42E+/96Y
320,N422UA ,4622,1995 ,SL/NewF,12F/42E+/96Y
320,N423UA ,4623,1995 ,SL/NewF,12F/42E+/96Y
320,N424UA ,4624,1995 ,SL/NewF,12F/42E+/96Y
320,N425UA ,4625,1995 ,SL/NewF,12F/42E+/96Y
320,N426UA ,4626,1995 ,SL/NewF,12F/42E+/96Y
320,N427UA ,4627,1995 ,SL/NewF,12F/42E+/96Y
320,N428UA ,4628,1995 ,SL/NewF,12F/42E+/96Y
320,N429UA ,4629,1995 ,SL/NewF,12F/42E+/96Y
320,N430UA ,4630,1996 ,SL/NewF,12F/42E+/96Y
320,N431UA ,4631,1996 ,SL/NewF,12F/42E+/96Y
320,N432UA ,4632,1996 ,SL/NewF,12F/42E+/96Y
320,N433UA ,4633,1996 ,SL/NewF,12F/42E+/96Y
320,N434UA ,4634,1996 ,SL/NewF,12F/42E+/96Y
320,N435UA ,4635,1996 ,SL/NewF,12F/42E+/96Y
320,N436UA ,4636,1996 ,SL/NewF,12F/42E+/96Y
320,N437UA ,4637,1997 ,SL/NewF,12F/42E+/96Y
320,N438UA ,4238,1997 ,NEXT,12F/42E+/96Y
320,N439UA ,4239,1997 ,SL/NewF,12F/42E+/96Y
320,N440UA ,4240,1997 ,SL/NewF,12F/42E+/96Y
320,N441UA ,4241,1997 ,SL/NewF,12F/42E+/96Y
320,N442UA ,4242,1998 ,SL/NewF,12F/42E+/96Y
320,N443UA ,4643,1998 ,SL/NewF,12F/42E+/96Y
320,N444UA ,4244,1998 ,SL/NewF,12F/42E+/96Y
320,N445UA ,4245,1998 ,SL/NewF,12F/42E+/96Y
320,N446UA ,4246,1998 ,SL/NewF,12F/42E+/96Y
320,N447UA ,4247,1998 ,SL/NewF,12F/42E+/96Y
320,N448UA ,4248,1998 ,SL/NewF,12F/42E+/96Y
320,N449UA ,4249,1998 ,SL/NewF,12F/42E+/96Y
320,N451UA ,4251,1998 ,SL/NewF,12F/42E+/96Y
320,N452UA ,4252,1999 ,SL/NewF,12F/42E+/96Y
320,N453UA ,4253,1999 ,NEXT,12F/42E+/96Y
320,N454UA ,4654,1999 ,SL/NewF,12F/42E+/96Y
320,N455UA ,4655,1999 ,SL/NewF,12F/42E+/96Y
320,N456UA ,4656,1999 ,SL/NewF,12F/42E+/96Y
320,N457UA ,4257,2000 ,SL/NewF,12F/42E+/96Y
320,N458UA ,4258,2000 ,SL/NewF,12F/42E+/96Y
320,N459UA ,4259,2000 ,SL/NewF,12F/42E+/96Y
320,N460UA ,4260,2000 ,SL/NewF,12F/42E+/96Y
320,N461UA ,4661,2000 ,SL/NewF,12F/42E+/96Y
320,N462UA ,4662,2000 ,SL/NewF,12F/42E+/96Y
320,N463UA ,4663,2000 ,SL/NewF,12F/42E+/96Y
320,N464UA ,4664,2000 ,SL/NewF,12F/42E+/96Y
320,N465UA ,4265,2000 ,SL/NewF,12F/42E+/96Y
320,N466UA ,4666,2000 ,SL/NewF,12F/42E+/96Y
320,N467UA ,4267,2000 ,SL/NewF,12F/42E+/96Y
320,N468UA ,4668,2000 ,SL/NewF,12F/42E+/96Y
320,N469UA ,4269,2001 ,SL/NewF,12F/42E+/96Y
320,N470UA ,4270,2001 ,NEXT,12F/42E+/96Y
320,N471UA ,4171,2001 ,SL/NewF,12F/42E+/96Y
320,N472UA ,4172,2001 ,SL/NewF,12F/42E+/96Y
320,N473UA ,4173,2001 ,SL/NewF,12F/42E+/96Y
320,N474UA ,4274,2001 ,NEXT,12F/42E+/96Y
320,N475UA ,4275,2001 ,SL/NewF,12F/42E+/96Y
320,N476UA ,4276,2001 ,NEXT,12F/42E+/96Y
320,N477UA ,4277,2001 ,SL/NewF,12F/42E+/96Y
320,N478UA ,4278,2001 ,NEXT,12F/42E+/96Y
320,N479UA ,4279,2001 ,SL/NewF,12F/42E+/96Y
320,N480UA ,4280,2001 ,NEXT,12F/42E+/96Y
320,N481UA ,4281,2001 ,SL/NewF,12F/42E+/96Y
320,N482UA ,4282,2001 ,NEXT,12F/42E+/96Y
320,N483UA ,4283,2001 ,SL/NewF,12F/42E+/96Y
320,N484UA ,4284,2001 ,SL/NewF,12F/42E+/96Y
320,N485UA ,4285,2001 ,SL/NewF,12F/42E+/96Y
320,N486UA ,4286,2001 ,SL/NewF,12F/42E+/96Y
320,N487UA ,4287,2002 ,SL/NewF,12F/42E+/96Y
320,N488UA ,4288,2002 ,SL/NewF,12F/42E+/96Y
320,N489UA ,4289,2002 ,SL/NewF,12F/42E+/96Y
320,N490UA ,4290,2002 ,SL/NewF,12F/42E+/96Y
320,N491UA ,4291,2002 ,SL/NewF,12F/42E+/96Y
320,N492UA ,4292,2002 ,SL/NewF,12F/42E+/96Y
320,N493UA ,4293,2002 ,SL/NewF,12F/42E+/96Y
320,N494UA ,4294,2002 ,SL/NewF,12F/42E+/96Y
320,N495UA ,4295,2002 ,SL/NewF,12F/42E+/96Y
320,N496UA ,4296,2002 ,SL/NewF,12F/42E+/96Y
320,N497UA ,4297,2002 ,SL/NewF,12F/42E+/96Y
320,N498UA ,4298,2002 ,SL/NewF,12F/42E+/96Y
20C,,,Orig Dlvry,UA dlvry 2017,Aft Lav/Galley config different
320,N4901U ,4901,2006,SL/NewF,12F/42E+/96Y
320,N1902U ,4902,2006,SL/NewF,12F/42E+/96Y
,,,,,
73G,Former,GUM, ,737-700,Domestic 
73G,N16701 ,3701,1998,SL/NewF,12F/36E+/78Y
73G,N24702 ,3702,1998,SL/NewF,12F/36E+/78Y
73G,N16703 ,3703,1998,SL/NewF,12F/36E+/78Y
73G,N14704 ,3704,1998,SL/NewF,12F/36E+/78Y
73G,N25705 ,3705,1998,SL/NewF,12F/36E+/78Y
73G,N24706 ,3706,1998,SL/NewF,12F/36E+/78Y
73G,N23707 ,3707,1998,SL/NewF,12F/36E+/78Y
73G,N23708 ,3708,1998,SL/NewF,12F/36E+/78Y
73G,N16709 ,3709,1998,SL/NewF,12F/36E+/78Y
73G,N15710 ,3710,1999,SL/NewF,12F/36E+/78Y
73G,N54711 ,3711,1998,SL/NewF,12F/36E+/78Y
73G,N15712 ,3712,1998,SL/NewF,12F/36E+/78Y
73G,N33714 ,3714,1998,SL/NewF,12F/36E+/78Y
73G,N24715 ,3715,1998,SL/NewF,12F/36E+/78Y
73G,N13716 ,3716,1998,SL/NewF,12F/36E+/78Y
73G,N13718 ,3718,1999,SL/NewF,12F/36E+/78Y
73G,N17719 ,3719,1999,SL/NewF,12F/36E+/78Y
73G,N23721 ,3721,1999,SL/NewF,12F/36E+/78Y
73G,N27722 ,3722,1999,SL/NewF,12F/36E+/78Y
73G,N21723 ,3723,1999,SL/NewF,12F/36E+/78Y
73G,N27724 ,3724,1999,SL/NewF,12F/36E+/78Y
73G,N38727 ,3727,1998,SL/NewF,12F/36E+/78Y
73G,N39728 ,3728,1999,SL/NewF,12F/36E+/78Y
73G,N24729 ,3729,1999,SL/NewF,12F/36E+/78Y
73G,N17730 ,3730,1999,SL/NewF,12F/36E+/78Y
73G,N14731 ,3731,1999,SL/NewF,12F/36E+/78Y
73G,N16732 ,3732,1999,SL/NewF,12F/36E+/78Y
73G,N27733 ,3733,1999,SL/NewF,12F/36E+/78Y
73G,N13750 ,3750,1999,SL/NewF,12F/36E+/78Y
37R,,, ,Now,Domestic 
73G,N16713 ,3713,1998,SL/NewF,12F/36E+/78Y
73G,N29717 ,3717,1999,SL/NewF,12F/36E+/78Y
73G,N13720 ,3720,1999,SL/NewF,12F/36E+/78Y
73G,N39726 ,3726,1999,SL/NewF,12F/36E+/78Y
73G,N27734 ,3734,1999,SL/NewF,12F/36E+/78Y
73G,N14735 ,3735,1999,SL/NewF,12F/36E+/78Y
73G,N24736 ,3736,1999,SL/NewF,12F/36E+/78Y
37R,,,Dlvry, ,UA dlvry '15
73G,N15751 ,3751,1999,SL/NewF,12F/36E+/78Y
73G,N17752 ,3752,1999,SL/NewF,12F/36E+/78Y
73G,N17753 ,3753,2002,SL/NewF,12F/36E+/78Y
73G,N12754 ,3754,2002,SL/NewF,12F/36E+/78Y
,,,,,
73U,,, ,GUM Units,All aircraft ETOPS
738,N35260 ,3260,2001,GUM Slimline,16F/42E+/108Y
738,N77261 ,3261,2001,GUM Slimline,16F/42E+/108Y
738,N73270 ,3270,2001,GUM Slimline,16F/42E+/108Y
738,N73278 ,3278,2003,GUM Slimline,16F/42E+/108Y
738,N79279 ,3279,2003,GUM Slimline,16F/42E+/108Y
738,N36280 ,3280,2003,GUM Slimline,16F/42E+/108Y
738,N37281 ,3281,2003,GUM Slimline,16F/42E+/108Y
738,N34282 ,3282,2004,GUM Slimline,16F/42E+/108Y
738,N37293,3293,2005,GUM Slimline,16F/42E+/108Y
738,N33294 ,3294,2005,GUM Slimline,16F/42E+/108Y
738,N77296 ,3296,2005,GUM Slimline,16F/42E+/108Y
738,N39297 ,3297,2005,GUM Slimline,16F/42E+/108Y
73Y,Former,GUM, ,Domestic,
738,N25201 ,3201,1998,Slimline,16F/54E+/96Y
738,N26232 ,3232,1998,Slimline,16F/54E+/96Y
738,N14235 ,3235,1999,Slimline,16F/54E+/96Y
738,N35236 ,3236,1999,Slimline,16F/54E+/96Y
738,N14240 ,3240,1999,Slimline,16F/54E+/96Y
738,N27246 ,3246,1999,Slimline,16F/54E+/96Y
738,N14249 ,3249,1999,Slimline,16F/54E+/96Y
738,N77295 ,3295,2005,Slimline,16F/54E+/96Y
738,N37298 ,3298,2005,Slimline,16F/54E+/96Y
738,N73299 ,3299,2005,Slimline,16F/54E+/96Y
73Y,,, ,Domestic,
738,N24202 ,3202,2000,Slimline,16F/54E+/96Y
738,N33203 ,3203,2000,Slimline,16F/54E+/96Y
738,N35204 ,3204,2000,Slimline,16F/54E+/96Y
738,N27205 ,3205,2000,Slimline,16F/54E+/96Y
738,N11206 ,3206,2000,Slimline,16F/54E+/96Y
738,N36207 ,3207,2000,Slimline,16F/54E+/96Y
