date,temperature_2m,relative_humidity_2m,precipitation,pressure_msl,cloud_cover,wind_speed_10m
2024-05-18 00:00:00+00:00,17.507,73,0,1012.5,1009.5299,5
2024-05-18 01:00:00+00:00,15.907,75,0,1012.3,1009.3144,100
2024-05-18 02:00:00+00:00,15.207001,77,0,1012.1,1009.10767,100
2024-05-18 03:00:00+00:00,13.707001,79,0,1012.1,1009.0918,100
2024-05-18 04:00:00+00:00,12.707001,79,0,1012.5,1009.4802,3
2024-05-18 05:00:00+00:00,11.757,87,0,1012.9,1009.86896,4
2024-05-18 06:00:00+00:00,11.407001,91,0,1011.8,1008.76874,5
2024-05-18 07:00:00+00:00,11.007,92,0,1012.4,1009.36255,8
2024-05-18 08:00:00+00:00,10.907001,94,0,1012.4,1009.3616,10
2024-05-18 09:00:00+00:00,10.607,92,0,1012.5,1009.4581,17
2024-05-18 10:00:00+00:00,10.257,90,0,1012.5,1009.4543,24
2024-05-18 11:00:00+00:00,10.107,90,0,1012.3,1009.2533,23
2024-05-18 12:00:00+00:00,10.207001,92,0,1012.9,1009.8525,24
2024-05-18 13:00:00+00:00,10.107,91,0,1013.6,1010.5494,30
2024-05-18 14:00:00+00:00,11.457001,95,0,1013.8,1010.7631,25
2024-05-18 15:00:00+00:00,13.107,89,0,1014.2,1011.1793,12
2024-05-18 16:00:00+00:00,15.157001,82,0,1014.2,1011.20087,12
2024-05-18 17:00:00+00:00,16.657,75,0,1014.6,1011.6152,12
2024-05-18 18:00:00+00:00,17.857,69,0,1014.8,1011.82697,9
2024-05-18 19:00:00+00:00,18.907,65,0,1014.8,1011.8374,10
2024-05-18 20:00:00+00:00,19.757,63,0,1014.7,1011.7463,8
2024-05-18 21:00:00+00:00,20.307001,60,0,1014.4,1011.45294,7
2024-05-18 22:00:00+00:00,19.907,63,0,1014.3,1011.349,6
2024-05-18 23:00:00+00:00,18.807001,62,0,1014.3,1011.33795,4
2024-05-19 00:00:00+00:00,17.557001,66,0,1014.8,1011.82385,1
2024-05-19 01:00:00+00:00,16.357,69,0,1014.8,1011.81146,2
2024-05-19 02:00:00+00:00,15.157001,73,0,1014.9,1011.8988,1
2024-05-19 03:00:00+00:00,12.957001,81,0,1015.1,1012.07495,3
2024-05-19 04:00:00+00:00,11.957001,85,0,1015.7,1012.6627,5
2024-05-19 05:00:00+00:00,11.407001,86,0,1016.1,1013.05585,7
2024-05-19 06:00:00+00:00,10.807,84,0,1016.4,1013.3484,4
2024-05-19 07:00:00+00:00,10.307,84,0,1016.5,1013.4426,2
2024-05-19 08:00:00+00:00,10.057,82,0,1016.3,1013.24066,19
2024-05-19 09:00:00+00:00,9.757,81,0,1016.6,1013.5365,2
2024-05-19 10:00:00+00:00,9.357,79,0,1016.4,1013.3327,2
2024-05-19 11:00:00+00:00,8.907001,78,0,1016.3,1013.2283,2
2024-05-19 12:00:00+00:00,8.607,77,0,1016.2,1013.12537,2
2024-05-19 13:00:00+00:00,8.407001,76,0,1016.4,1013.3226,2
2024-05-19 14:00:00+00:00,9.757,79,0,1017.1,1014.035,1
2024-05-19 15:00:00+00:00,13.107,71,0,1017.3,1014.2701,1
2024-05-19 16:00:00+00:00,14.757,64,0,1017.7,1014.6864,3
2024-05-19 17:00:00+00:00,16.357,58,0,1017.8,1014.8026,2
2024-05-19 18:00:00+00:00,17.707,53,0,1018,1015.01605,1
2024-05-19 19:00:00+00:00,18.557001,50,0,1017.8,1014.8252,0
2024-05-19 20:00:00+00:00,18.307001,53,0,1017.2,1014.2244,2
2024-05-19 21:00:00+00:00,18.257,54,0,1017.1,1014.1243,2
2024-05-19 22:00:00+00:00,18.157,53,0,1016.5,1013.5249,1
2024-05-19 23:00:00+00:00,17.457,52,0,1015.9,1012.9197,2
2024-05-20 00:00:00+00:00,16.407,54,0,1015.4,1012.41034,4
2024-05-20 01:00:00+00:00,16.1205,55,0,1014.3,1011.31067,0
2024-05-20 02:00:00+00:00,14.520499,62,0,1014,1010.9948,0
2024-05-20 03:00:00+00:00,12.520499,74,0,1013.9,1010.87427,0
2024-05-20 04:00:00+00:00,11.020499,83,0,1013.9,1010.8584,0
2024-05-20 05:00:00+00:00,10.6205,86,0,1014.2,1011.153,0
2024-05-20 06:00:00+00:00,10.4205,87,0,1013.9,1010.8517,43
2024-05-20 07:00:00+00:00,10.320499,87,0,1013.6,1010.5516,42
2024-05-20 08:00:00+00:00,10.020499,89,0,1013.2,1010.14966,2
2024-05-20 09:00:00+00:00,9.7205,91,0,1013,1009.94714,9
2024-05-20 10:00:00+00:00,9.4205,92,0,1012.8,1009.74426,4
2024-05-20 11:00:00+00:00,9.320499,91,0,1012.9,1009.843,0
2024-05-20 12:00:00+00:00,9.320499,87,0,1012.8,1009.7433,0
2024-05-20 13:00:00+00:00,8.820499,88,0,1013.4,1010.3361,0
2024-05-20 14:00:00+00:00,10.1205,82,0,1014.3,1011.2473,0
2024-05-20 15:00:00+00:00,12.2205,72,0,1014.7,1011.6686,0
2024-05-20 16:00:00+00:00,14.9205,60,0,1014.9,1011.8963,6
2024-05-20 17:00:00+00:00,17.9205,49,0,1015,1012.027,10
2024-05-20 18:00:00+00:00,19.7205,41,0,1015,1012.04517,100
2024-05-20 19:00:00+00:00,21.9205,35,0,1014.6,1011.6684,68
2024-05-20 20:00:00+00:00,23.7205,29,0,1014,1011.08795,5
2024-05-20 21:00:00+00:00,24.1205,29,0,1013.6,1010.69293,7
2024-05-20 22:00:00+00:00,21.4205,37,0,1013.5,1010.5666,6
2024-05-20 23:00:00+00:00,20.0205,40,0,1013.2,1010.25354,0
2024-05-21 00:00:00+00:00,19.4205,41,0,1012.9,1009.9484,0
2024-05-21 01:00:00+00:00,17.6205,46,0,1012.9,1009.93005,0
2024-05-21 02:00:00+00:00,16.4205,50,0,1012.9,1009.91766,0
2024-05-21 03:00:00+00:00,14.1205,63,0,1013,1009.9936,0
2024-05-21 04:00:00+00:00,12.520499,71,0,1013.4,1010.37573,0
2024-05-21 05:00:00+00:00,11.7205,78,0,1014,1010.9653,0
2024-05-21 06:00:00+00:00,11.2205,82,0,1014,1010.95996,0
2024-05-21 07:00:00+00:00,10.820499,85,0,1013.9,1010.8561,0
2024-05-21 08:00:00+00:00,10.4205,88,0,1013.7,1010.6522,0
2024-05-21 09:00:00+00:00,10.1205,91,0,1013.8,1010.7488,0
2024-05-21 10:00:00+00:00,9.820499,92,0,1013.9,1010.8454,0
2024-05-21 11:00:00+00:00,9.6205,92,0,1014,1010.9428,0
2024-05-21 12:00:00+00:00,9.520499,91,0,1014.1,1011.0415,0
2024-05-21 13:00:00+00:00,9.320499,91,0,1014.3,1011.2388,0
2024-05-21 14:00:00+00:00,11.520499,79,0,1014.9,1011.8604,0
2024-05-21 15:00:00+00:00,15.2205,60,0,1015.3,1012.2982,0
2024-05-21 16:00:00+00:00,18.9205,44,0,1015.2,1012.23663,0
2024-05-21 17:00:00+00:00,22.6205,31,0,1015,1012.07404,0
2024-05-21 18:00:00+00:00,25.0205,25,0,1014.9,1011.99805,0
2024-05-21 19:00:00+00:00,26.6205,23,0,1014.8,1011.9136,0
2024-05-21 20:00:00+00:00,27.1205,22,0,1014.5,1011.61914,0
2024-05-21 21:00:00+00:00,26.2205,25,0,1014.3,1011.41113,0
2024-05-21 22:00:00+00:00,24.6205,29,0,1014,1011.0965,0
2024-05-21 23:00:00+00:00,22.4205,35,0,1013.6,1010.67615,0
2024-05-22 00:00:00+00:00,21.9205,35,0,1013.5,1010.57166,0
2024-05-22 01:00:00+00:00,19.9205,41,0,1013.4,1010.452,0
2024-05-22 02:00:00+00:00,18.1205,48,0,1013.2,1010.2342,0
2024-05-22 03:00:00+00:00,14.820499,66,0,1013.7,1010.69885,0
2024-05-22 04:00:00+00:00,12.7205,77,0,1013.6,1010.5773,5
2024-05-22 05:00:00+00:00,11.9205,83,0,1013.8,1010.7681,8
2024-05-22 06:00:00+00:00,11.7205,87,0,1013.7,1010.6662,0
2024-05-22 07:00:00+00:00,11.6205,91,0,1013.6,1010.5655,0
2024-05-22 08:00:00+00:00,11.520499,94,0,1013.5,1010.4646,56
2024-05-22 09:00:00+00:00,12.520499,86,0,1013.2,1010.17633,100
2024-05-22 10:00:00+00:00,12.2205,85,0,1013.1,1010.07336,100
2024-05-22 11:00:00+00:00,12.2205,85,0,1013,1009.9737,100
2024-05-22 12:00:00+00:00,11.9205,89,0,1012.8,1009.7711,100
2024-05-22 13:00:00+00:00,11.9205,86,0,1012.8,1009.7711,100
